query_cid,label,sub_id,text,image
bafyreiggjjpwgf57nbness6nk5ej3mlvmrq2fenrinkr5ritngftltjttm,intolerant,0,What of you're retarded or delusional as fuck to even think this is ok?,
bafyreihgh5wj6kuysx5oxk6e63exkkz46zlho4aidlafgc7h7ospdwwa5m,intolerant,0,They're literally retarded. It is simple. They're just fucking retards,
bafyreihmrxzm6yctzb52ps7yadchh74nyszk73lcojdk7j6ne4ka537v4m,intolerant,0,I hate this shit.  These people are retrarded .,
bafyreiddedmzsyylfilmbxotac7nmll3w5jhfvgrqqtoxhzdwtfhf4ne5e,intolerant,0,Well that….and they’re fucking stupid!!!,
bafyreidawxmx2nw7yizsajjjvxefz6gw6sja4soiogpxvflkharyasalhm,intolerant,0,"Why yes, yes we can, you retarded pussy.... FFS what is wrong with these people? WTAF are your priorities? And out of curiosity, are you 12? JFC! Aaarrrrggg!!!",
bafyreibdcfflilpgg3vdtcowln4442u2xz3q4clqqqvfym3rmgoeatn6aa,intolerant,0,Absolute morons! WTH 🤦🏼‍♀️,
bafyreifbgm2uh3ozrzueft2d4vah2cjwszdfzqubkuafupphkv4umy53xu,intolerant,0,"a lot ya'll not gon like this...

ARE YOU FUCKING RETARDED?",
bafyreifertrf7vq25k4bkxgairmlh6av4coovpdwkspluahvuivmw2estm,intolerant,0,Sure was. Why don’t any morons see it!!!🤬,
bafyreiejaydwhkwz5gsbzeyl5rv5q6mweqcphacfrizmlyl2mwdh27pgku,intolerant,0,Elect morons and you get moronic things 🤷‍♂️,
bafyreibhytpaspx5binewg5lrr6xfmvbfibtyxhus4ejci3hifybxvsomy,intolerant,0,Except ONE thing…..they don’t want to!!! Stupid moron!!!😡,
bafyreigesj7e44hpxjayxn6p65isrjyznicc4mwwkt5vhf5czhtehvrol4,intolerant,0,"as a wise man said a couple of years ago, he's lucky that they are so fucking stupid.",
bafyreifodrwsy24xp5fftpde4eafgkxu545w7wn2csfmlnuxdfpvid2bs4,intolerant,0,What a bunch of morons 🤣,
bafyreie4c2r2ylgqovyuv2wdj26zc657vfqfx2nxkc4z44qilzzh334ysi,intolerant,0,Are all these people really that stupid?  🤦‍♀️,
